,WGATAR_id,Hudep2_TAD_position
0,WGATAR_1490,chr19:12790000-13270000
1,WGATAR_1477,chr19:12790000-13270000
2,WGATAR_1477,chr19:12790000-13270000
3,WGATAR_1477,chr19:12790000-13270000
4,WGATAR_1477,chr19:12790000-13270000
5,WGATAR_1477,chr19:12790000-13270000
6,WGATAR_1477,chr19:12790000-13270000
7,WGATAR_1477,chr19:12790000-13270000
8,WGATAR_1477,chr19:12790000-13270000
9,WGATAR_1477,chr19:12790000-13270000
10,WGATAR_1477,chr19:12790000-13270000
11,WGATAR_1477,chr19:12790000-13270000
12,WGATAR_1477,chr19:12790000-13270000
13,WGATAR_1477,chr19:12790000-13270000
14,WGATAR_1477,chr19:12790000-13270000
15,WGATAR_1469,chr19:12790000-13270000
16,WGATAR_1477,chr19:12790000-13270000
17,WGATAR_1469,chr19:12790000-13270000
18,WGATAR_1469,chr19:12790000-13270000
19,WGATAR_1469,chr19:12790000-13270000
20,WGATAR_1469,chr19:12790000-13270000
21,WGATAR_1470,chr19:12790000-13270000
22,WGATAR_1470,chr19:12790000-13270000
23,WGATAR_1470,chr19:12790000-13270000
24,WGATAR_1470,chr19:12790000-13270000
25,WGATAR_1470,chr19:12790000-13270000
26,WGATAR_1470,chr19:12790000-13270000
27,WGATAR_1470,chr19:12790000-13270000
28,WGATAR_1470,chr19:12790000-13270000
29,WGATAR_1470,chr19:12790000-13270000
30,WGATAR_1477,chr19:12790000-13270000
31,WGATAR_1476,chr19:12790000-13270000
32,WGATAR_1474,chr19:12790000-13270000
33,WGATAR_1475,chr19:12790000-13270000
34,WGATAR_1474,chr19:12790000-13270000
35,WGATAR_1474,chr19:12790000-13270000
36,WGATAR_1474,chr19:12790000-13270000
37,WGATAR_1474,chr19:12790000-13270000
38,WGATAR_1474,chr19:12790000-13270000
39,WGATAR_1474,chr19:12790000-13270000
40,WGATAR_1474,chr19:12790000-13270000
41,WGATAR_1474,chr19:12790000-13270000
42,WGATAR_1475,chr19:12790000-13270000
43,WGATAR_1475,chr19:12790000-13270000
44,WGATAR_1475,chr19:12790000-13270000
45,WGATAR_1475,chr19:12790000-13270000
46,WGATAR_1475,chr19:12790000-13270000
47,WGATAR_1475,chr19:12790000-13270000
48,WGATAR_1476,chr19:12790000-13270000
49,WGATAR_1475,chr19:12790000-13270000
50,WGATAR_1475,chr19:12790000-13270000
51,WGATAR_1475,chr19:12790000-13270000
52,WGATAR_1475,chr19:12790000-13270000
53,WGATAR_1475,chr19:12790000-13270000
54,WGATAR_1475,chr19:12790000-13270000
55,WGATAR_1476,chr19:12790000-13270000
56,WGATAR_1476,chr19:12790000-13270000
57,WGATAR_1476,chr19:12790000-13270000
58,WGATAR_1476,chr19:12790000-13270000
59,WGATAR_1476,chr19:12790000-13270000
60,WGATAR_1476,chr19:12790000-13270000
61,WGATAR_1476,chr19:12790000-13270000
62,WGATAR_1470,chr19:12790000-13270000
63,WGATAR_1470,chr19:12790000-13270000
64,WGATAR_1470,chr19:12790000-13270000
65,WGATAR_1465,chr19:12790000-13270000
66,WGATAR_1462,chr19:12790000-13270000
67,WGATAR_1462,chr19:12790000-13270000
68,WGATAR_1462,chr19:12790000-13270000
69,WGATAR_1462,chr19:12790000-13270000
70,WGATAR_1462,chr19:12790000-13270000
71,WGATAR_1462,chr19:12790000-13270000
72,WGATAR_1462,chr19:12790000-13270000
73,WGATAR_1465,chr19:12790000-13270000
74,WGATAR_1465,chr19:12790000-13270000
75,WGATAR_1465,chr19:12790000-13270000
76,WGATAR_1465,chr19:12790000-13270000
77,WGATAR_1465,chr19:12790000-13270000
78,WGATAR_1465,chr19:12790000-13270000
79,WGATAR_1465,chr19:12790000-13270000
80,WGATAR_1470,chr19:12790000-13270000
81,WGATAR_1465,chr19:12790000-13270000
82,WGATAR_1465,chr19:12790000-13270000
83,WGATAR_1465,chr19:12790000-13270000
84,WGATAR_1465,chr19:12790000-13270000
85,WGATAR_1466,chr19:12790000-13270000
86,WGATAR_1466,chr19:12790000-13270000
87,WGATAR_1466,chr19:12790000-13270000
88,WGATAR_1466,chr19:12790000-13270000
89,WGATAR_1466,chr19:12790000-13270000
90,WGATAR_1466,chr19:12790000-13270000
91,WGATAR_1466,chr19:12790000-13270000
92,WGATAR_1466,chr19:12790000-13270000
93,WGATAR_1466,chr19:12790000-13270000
94,WGATAR_1462,chr19:12790000-13270000
95,WGATAR_1462,chr19:12790000-13270000
96,WGATAR_1462,chr19:12790000-13270000
97,WGATAR_1462,chr19:12790000-13270000
98,WGATAR_1470,chr19:12790000-13270000
99,WGATAR_1470,chr19:12790000-13270000
100,WGATAR_1470,chr19:12790000-13270000
101,WGATAR_1470,chr19:12790000-13270000
102,WGATAR_1468,chr19:12790000-13270000
103,WGATAR_1468,chr19:12790000-13270000
104,WGATAR_1468,chr19:12790000-13270000
105,WGATAR_1468,chr19:12790000-13270000
106,WGATAR_1468,chr19:12790000-13270000
107,WGATAR_1468,chr19:12790000-13270000
108,WGATAR_1468,chr19:12790000-13270000
109,WGATAR_1468,chr19:12790000-13270000
110,WGATAR_1468,chr19:12790000-13270000
111,WGATAR_1467,chr19:12790000-13270000
112,WGATAR_1467,chr19:12790000-13270000
113,WGATAR_1467,chr19:12790000-13270000
114,WGATAR_1467,chr19:12790000-13270000
115,WGATAR_1467,chr19:12790000-13270000
116,WGATAR_1467,chr19:12790000-13270000
117,WGATAR_1467,chr19:12790000-13270000
118,WGATAR_1467,chr19:12790000-13270000
119,WGATAR_1467,chr19:12790000-13270000
120,WGATAR_1467,chr19:12790000-13270000
121,WGATAR_1467,chr19:12790000-13270000
122,WGATAR_1462,chr19:12790000-13270000
123,WGATAR_1462,chr19:12790000-13270000
124,WGATAR_1462,chr19:12790000-13270000
125,WGATAR_1474,chr19:12790000-13270000
126,WGATAR_1474,chr19:12790000-13270000
127,WGATAR_1485,chr19:12790000-13270000
128,WGATAR_1481,chr19:12790000-13270000
129,WGATAR_1482,chr19:12790000-13270000
130,WGATAR_1482,chr19:12790000-13270000
131,WGATAR_1482,chr19:12790000-13270000
132,WGATAR_1482,chr19:12790000-13270000
133,WGATAR_1482,chr19:12790000-13270000
134,WGATAR_1482,chr19:12790000-13270000
135,WGATAR_1482,chr19:12790000-13270000
136,WGATAR_1481,chr19:12790000-13270000
137,WGATAR_1481,chr19:12790000-13270000
138,WGATAR_1481,chr19:12790000-13270000
139,WGATAR_1481,chr19:12790000-13270000
140,WGATAR_1481,chr19:12790000-13270000
141,WGATAR_1481,chr19:12790000-13270000
142,WGATAR_1481,chr19:12790000-13270000
143,WGATAR_1482,chr19:12790000-13270000
144,WGATAR_1481,chr19:12790000-13270000
145,WGATAR_1481,chr19:12790000-13270000
146,WGATAR_1481,chr19:12790000-13270000
147,WGATAR_1481,chr19:12790000-13270000
148,WGATAR_1481,chr19:12790000-13270000
149,WGATAR_1481,chr19:12790000-13270000
150,WGATAR_1480,chr19:12790000-13270000
151,WGATAR_1480,chr19:12790000-13270000
152,WGATAR_1480,chr19:12790000-13270000
153,WGATAR_1480,chr19:12790000-13270000
154,WGATAR_1480,chr19:12790000-13270000
155,WGATAR_1480,chr19:12790000-13270000
156,WGATAR_1480,chr19:12790000-13270000
157,WGATAR_1482,chr19:12790000-13270000
158,WGATAR_1482,chr19:12790000-13270000
159,WGATAR_1474,chr19:12790000-13270000
160,WGATAR_1486,chr19:12790000-13270000
161,WGATAR_1485,chr19:12790000-13270000
162,WGATAR_1485,chr19:12790000-13270000
163,WGATAR_1485,chr19:12790000-13270000
164,WGATAR_1485,chr19:12790000-13270000
165,WGATAR_1485,chr19:12790000-13270000
166,WGATAR_1485,chr19:12790000-13270000
167,WGATAR_1485,chr19:12790000-13270000
168,WGATAR_1486,chr19:12790000-13270000
169,WGATAR_1486,chr19:12790000-13270000
170,WGATAR_1486,chr19:12790000-13270000
171,WGATAR_1486,chr19:12790000-13270000
172,WGATAR_1486,chr19:12790000-13270000
173,WGATAR_1486,chr19:12790000-13270000
174,WGATAR_1486,chr19:12790000-13270000
175,WGATAR_1482,chr19:12790000-13270000
176,WGATAR_1486,chr19:12790000-13270000
177,WGATAR_1486,chr19:12790000-13270000
178,WGATAR_1486,chr19:12790000-13270000
179,WGATAR_1483,chr19:12790000-13270000
180,WGATAR_1483,chr19:12790000-13270000
181,WGATAR_1482,chr19:12790000-13270000
182,WGATAR_1482,chr19:12790000-13270000
183,WGATAR_1482,chr19:12790000-13270000
184,WGATAR_1482,chr19:12790000-13270000
